,reactions,size,DM_ALA,biomass,fva_min,fva_max
0,"{'RNDR4', 'NDPK6', 'ALAD_L', 'GLUSfx'}",4,0.20574058326570893,0.010563345343176378,0.0,0.22860000000000355
1,"{'RNDR4', 'NDPK6', 'ACGAMK', 'VPAMTr'}",4,0.20574000000000445,0.010563345343176378,0.0,0.22860000000000022
2,"{'RNDR4', 'NDPK6', 'GND', 'FBA'}",4,0.20573999999981418,0.010563345343176378,0.0,0.22860000000000022
3,"{'RNDR4', 'NDPK6', 'IPDDI', 'FBA'}",4,0.20574081148792742,0.010563345343176378,0.0,0.22860000000000022
4,"{'RNDR4', 'NDPK6', 'ACM6PH', 'NTPP8'}",4,0.2057400000000621,0.010563345343176378,0.0,0.22860000000000022
5,"{'RNDR4', 'NDPK6', 'GLUSfx', 'IPDPS'}",4,0.2057407352350192,0.010563345340638759,0.0,0.22860000000000022
6,"{'RNDR4', 'NDPK6', 'GLYCK', 'GLUCYS'}",4,0.2057409656884683,0.010563345341819672,0.0,0.22859999999999867
7,"{'RNDR4', 'NDPK6', 'FNOR', 'ALAD_L'}",4,0.20574111939822612,0.010563345341819672,0.0,0.22859999999999073
8,"{'RNDR4', 'NDPK6', 'PSP_L', 'ACM6PH'}",4,0.2057400000000115,0.010563345343176378,0.0,0.22860000000000044
9,"{'RNDR4', 'NDPK6', 'ACGAMK', 'FBA3'}",4,0.2057403687369595,0.010563345341819672,0.0,0.22860000000000488
