,reactions,size,DM_ALA,biomass,fva_min,fva_max
0,"{'FDH6', 'GART', 'ANHMK', 'FBP', 'IPDPS'}",5,0.20574121898360864,0.010563345341819672,0.0,0.22859999999999825
1,"{'FDH6', 'CAT', 'GART', 'ACGS', 'VPAMTr'}",5,0.20574177627763493,0.010563345340638759,0.0,0.22859999999999994
2,"{'GGCLUT2', 'FDH6', 'GART', 'DMPPS_syn', 'ACGS'}",5,0.20574086973632913,0.010563345341819672,0.0,0.22859999999999994
3,"{'PSERT', 'FDH6', 'GND', 'GART', 'SBP'}",5,0.20574136836158424,0.010563345341819672,0.0,0.22860000000002326
4,"{'FDH6', 'GTHPi', 'GART', 'DMPPS_syn', 'SBP'}",5,0.20574073522998595,0.010563345343176378,0.0,0.22860000000012726
5,"{'GLUSfx', 'PSERT', 'FDH6', 'GART', 'DMPPS_syn'}",5,0.20574136836384896,0.010563345341819672,0.0,0.22860000000012726
6,"{'HEX7', 'FDH6', 'GART', 'ANHMK', 'FUM'}",5,0.20435438803073627,0.010563345341819672,0.0,0.22859999999995917
7,"{'FDH6', 'GND', 'GART', 'PPA', 'DMPPS_syn'}",5,0.20574067133071205,0.010563345343176378,0.0,0.22860000000009048
8,"{'FDH6', 'CAT', 'PGCD', 'GART', 'VALTA'}",5,0.2057414272328297,0.010563345341819672,0.0,0.22860000000000794
9,"{'MDDEP4pp', 'GGCLUT2', 'PSERT', 'FDH6', 'GART'}",5,0.20574094977358623,0.010563345341819672,0.0,0.2285999999999839
