,reactions,size,DM_ALA,biomass,fva_min,fva_max
0,"{'RNDR4', 'NDPK6', 'ACGS'}",3,0.20574092484196424,0.010563345343176378,0.0,0.2286
1,"{'RNDR4', 'NDPK6', 'FNOR'}",3,0.20574129356716908,0.010563345343176378,0.0,0.22860000000000025
2,"{'RNDR4', 'NDPK6', 'FBA'}",3,0.2057411001927911,0.010563345343176378,0.0,0.2286000000000031
3,"{'FDH6', 'GART', 'DMPPS_syn'}",3,0.20574123385846285,0.010563345341819672,0.0,0.22859999999999978
4,"{'RNDR4', 'SBP', 'NDPK6'}",3,0.20574054290582902,0.010563345343176378,0.0,0.2285999999999896
5,"{'GLUSfx', 'FDH6', 'GART'}",3,0.20574106891450614,0.010563345340638759,0.0,0.22859999999999875
6,"{'GLUSfx', 'NDPK6', 'RNDR4'}",3,0.20574059696494956,0.010563345341819672,0.0,0.22860000000003572
7,"{'RNDR4', 'NDPK6', 'PSP_L'}",3,0.20573999999993609,0.010563345343176317,0.0,0.22860000000000133
8,"{'FDH6', 'AGDC', 'GART'}",3,0.2057404227913017,0.010563345340638759,0.0,0.2286000000000002
9,"{'RNDR4', 'NDPK6', 'PGL'}",3,0.20574085919469776,0.010563345343176378,0.0,0.22860000000000216
