,reactions,size,DM_ALA,biomass,fva_min,fva_max
0,"{'PSP_L', 'GND'}",2,0.1689015677526615,0.02758657288368073,0.0,0.16949724548023806
1,"{'PSERT', 'PGL'}",2,0.16890156382420565,0.027586574699056454,0.0,0.16949724548028347
2,"{'PSP_L', 'G6PDH2r'}",2,0.16890024795979397,0.027586574702649268,0.0,0.16949724548024006
3,"{'PSERT', 'G6PDH2r'}",2,0.16890091911055538,0.027586574702634304,0.0,0.16949724548023806
4,"{'PSERT', 'GND'}",2,0.16890024795978262,0.027586574702659388,0.0,0.16949724548024064
5,"{'PSP_L', 'ACGAMK', 'GND'}",3,0.16890177141794124,0.0275865745927483,0.0,0.1694972454802388
6,"{'PPA', 'PGL', 'PYK', 'PSP_L'}",4,0.16890121136409694,0.027586574495203815,0.0,0.169497245480242
7,"{'NAD_H2', 'PSP_L', 'TALA', 'G6PDH2r'}",4,0.1689023898060577,0.02758657470261636,0.0,0.16949724548023792
8,"{'PSERT', 'PFK', 'IPDDI', 'PGL'}",4,0.16890060102300905,0.027586574627815035,0.0,0.16949724548025977
9,"{'GLUSfx', 'PSERT', 'PYK', 'G6PDH2r'}",4,0.16890121091522878,0.02758657470262206,0.0,0.16949724548027487
